,country,year,season,territory
86,France,1906,winter,"['Bre', 'Bur', 'Gas', 'IRI', 'Lon', 'MAO', 'Mar', 'Pic', 'Por']"
87,France,1907,fall,"['Bre', 'Bur', 'Gas', 'IRI', 'MAO', 'Mar', 'Spa', 'Yor']"
88,France,1907,spring,"['Bre', 'Bur', 'Gas', 'IRI', 'Lon', 'MAO', 'Mar', 'Por']"
89,France,1907,winter,"['Bre', 'Bur', 'Gas', 'IRI', 'Lvp', 'LYO', 'MAO', 'Spa']"
90,France,1908,fall,"['Bre', 'Bur', 'Cly', 'Gas', 'IRI', 'LYO', 'MAO', 'Mar', 'Spa']"
91,France,1908,spring,"['Bre', 'Bur', 'Gas', 'IRI', 'Lvp', 'LYO', 'MAO', 'Mar', 'Spa']"
92,France,1908,winter,"['Bre', 'Bur', 'Cly', 'Gas', 'IRI', 'LYO', 'MAO', 'Mar', 'Spa']"
93,France,1909,fall,"['Bre', 'Bur', 'Gas', 'IRI', 'Lvp', 'LYO', 'Mar', 'Spa', 'WES']"
94,France,1909,spring,"['Bre', 'Bur', 'Cly', 'Gas', 'IRI', 'LYO', 'MAO', 'Mar', 'Spa']"
95,France,1909,winter,"['Bur', 'Gas', 'IRI', 'Lvp', 'LYO', 'MAO', 'Mar', 'Spa', 'WES']"
96,France,1910,fall,"['Bur', 'Gas', 'IRI', 'Lvp', 'LYO', 'MAO', 'Mar', 'Spa', 'WES']"
97,France,1910,spring,"['Bur', 'Gas', 'IRI', 'Lvp', 'LYO', 'MAO', 'Mar', 'Spa', 'WES']"
98,France,1910,winter,"['Bur', 'Gas', 'Lvp', 'LYO', 'Mar', 'Naf', 'NAO', 'Spa']"
99,France,1911,fall,"['Bur', 'Gas', 'MAO', 'Mar', 'NAO', 'Spa', 'WES', 'Yor']"
100,France,1911,spring,"['Bre', 'Bur', 'Gas', 'Lvp', 'LYO', 'Mar', 'Naf', 'NAO', 'Spa']"
101,France,1911,winter,"['Bel', 'Gas', 'IRI', 'Lon', 'MAO', 'Mar', 'Spa', 'WES']"
102,France,1912,fall,"['Bel', 'Bre', 'Gas', 'IRI', 'Lon', 'LYO', 'MAO', 'Spa', 'WES']"
103,France,1912,spring,"['Bel', 'Bre', 'Gas', 'IRI', 'Lon', 'MAO', 'Mar', 'Spa', 'WES']"
104,France,1912,winter,"['Bel', 'ENG', 'Gas', 'Lon', 'LYO', 'MAO', 'Naf', 'Spa']"
105,France,1913,fall,"['Bur', 'ENG', 'Gas', 'MAO', 'Mar', 'Pie', 'Spa', 'Wal', 'WES']"
106,France,1913,spring,"['Bel', 'ENG', 'Gas', 'Lon', 'LYO', 'MAO', 'Mar', 'Naf', 'Spa']"
107,France,1913,winter,"['Bur', 'Gas', 'IRI', 'MAO', 'Mar', 'Pie', 'Spa', 'Wal', 'WES']"
108,France,1914,fall,"['Bur', 'Gas', 'IRI', 'LYO', 'MAO', 'Mar', 'Spa', 'Wal']"
109,France,1914,spring,"['Bur', 'Gas', 'IRI', 'MAO', 'Mar', 'Pie', 'Spa', 'Wal', 'WES']"
110,France,1914,winter,"['Bur', 'IRI', 'LYO', 'MAO', 'Mar', 'Naf', 'Spa', 'WES']"
111,France,1915,fall,"['Bur', 'Gas', 'IRI', 'LYO', 'MAO', 'Mar', 'Naf', 'Spa', 'WES']"
112,France,1915,spring,"['Bre', 'Bur', 'IRI', 'LYO', 'MAO', 'Mar', 'Naf', 'Spa', 'WES']"
113,France,1915,winter,"['Bur', 'IRI', 'LYO', 'MAO', 'Mar', 'Naf', 'Spa', 'Tun', 'WES']"
114,France,1916,fall,"['ENG', 'ION', 'IRI', 'LYO', 'Mar', 'Pic', 'Tus', 'WES']"
115,France,1916,spring,"['Bur', 'IRI', 'LYO', 'MAO', 'Mar', 'Naf', 'Tun', 'WES']"
116,France,1916,winter,"['ENG', 'ION', 'Lon', 'MAO', 'Mar', 'Pic', 'Spa', 'Tus']"
117,France,1917,fall,"['Lon', 'MAO', 'Mar', 'NAO', 'Nap', 'NTH', 'Par']"
118,France,1917,spring,"['ENG', 'ION', 'Lon', 'MAO', 'Mar', 'Pic', 'Spa']"
119,France,1917,winter,"['Bre', 'Edi', 'Gas', 'Lon', 'Lvp', 'Mar', 'Nap']"
120,France,1918,fall,"['Bur', 'Edi', 'Lon', 'MAO', 'NAO', 'Rom']"
121,France,1918,spring,"['Bre', 'Edi', 'Gas', 'Lon', 'Lvp', 'Mar', 'Nap']"
122,France,1918,winter,"['Bur', 'Edi', 'Lon', 'NWG', 'Rom', 'Spa']"
123,France,1919,fall,"['BAR', 'Lon', 'Mar', 'NWG', 'Spa', 'Tus']"
124,France,1919,spring,"['Bur', 'Edi', 'Lon', 'NWG', 'Rom', 'Spa']"
125,France,1919,winter,"['BAR', 'Lon', 'Mar', 'Nwy', 'Spa', 'Tus']"
126,France,1920,fall,"['BAR', 'Lon', 'Mar', 'SKA', 'Spa', 'Tus']"
127,France,1920,spring,"['BAR', 'Lon', 'Mar', 'Nwy', 'Spa', 'Tus']"
128,France,1920,winter,"['BAR', 'LYO', 'Mar', 'SKA', 'Spa', 'Yor']"
129,France,1921,fall,"['BAR', 'Mar', 'SKA']"
130,France,1921,spring,"['BAR', 'Mar', 'SKA']"
131,France,1921,winter,"['BAR', 'SKA']"
132,Germany,1901,fall,"['Den', 'Kie', 'Ruh']"
133,Germany,1901,spring,"['Ber', 'Kie', 'Mun']"
134,Germany,1901,winter,"['Den', 'Hol', 'Ruh']"
135,Germany,1902,fall,"['BAL', 'Ber', 'Den', 'Hol', 'Mun']"
136,Germany,1902,spring,"['Ber', 'Den', 'Hol', 'Kie', 'Ruh']"
137,Germany,1902,winter,"['BAL', 'Ber', 'Den', 'Hol', 'Sil']"
138,Germany,1903,fall,"['BAL', 'Ber', 'Den', 'Hol', 'War']"
139,Germany,1903,spring,"['BAL', 'Ber', 'Den', 'Hol', 'Sil']"
140,Germany,1903,winter,"['BAL', 'Den', 'Hol', 'Pru', 'Sil']"
141,Germany,1904,fall,"['BAL', 'Den', 'Hol', 'Lvn', 'Mun']"
142,Germany,1904,spring,"['BAL', 'Den', 'Hol', 'Pru', 'Sil']"
143,Germany,1904,winter,"['Den', 'Hol', 'Lvn', 'Mun', 'Swe']"
144,Germany,1905,fall,"['BAL', 'Boh', 'Kie', 'Lvn', 'Nwy', 'Sil']"
145,Germany,1905,spring,"['Ber', 'Den', 'Hol', 'Lvn', 'Mun', 'Swe']"
146,Germany,1905,winter,"['BAL', 'Boh', 'Den', 'Mos', 'NTH', 'Sil']"
147,Germany,1906,fall,"['BAL', 'Mos', 'Mun', 'Nwy', 'Sil', 'Swe']"
148,Germany,1906,spring,"['BAL', 'Boh', 'Den', 'Mos', 'NTH', 'Sil']"
149,Germany,1906,winter,"['BAL', 'Mun', 'NTH', 'Sil', 'Swe']"
150,Germany,1907,fall,"['BOT', 'Mun', 'Nwy', 'Ruh', 'Sil', 'Swe']"
151,Germany,1907,spring,"['BAL', 'Kie', 'Mun', 'NTH', 'Sil', 'Swe']"
152,Germany,1907,winter,"['BOT', 'Mun', 'Nwy', 'Ruh', 'Sil', 'Stp']"
153,Germany,1908,fall,"['BAL', 'Boh', 'Mun', 'Nwy', 'Pru', 'Ruh', 'Sil', 'Stp']"
154,Germany,1908,spring,"['Ber', 'BOT', 'Kie', 'Mun', 'Nwy', 'Ruh', 'Sil', 'Stp']"
155,Germany,1908,winter,"['BAL', 'Boh', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'War']"
156,Germany,1909,fall,"['BAL', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'Sil', 'War']"
157,Germany,1909,spring,"['BAL', 'Boh', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'War']"
158,Germany,1909,winter,"['BAL', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'Sil', 'War']"
159,Germany,1910,fall,"['BAL', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'Sil', 'War']"
160,Germany,1910,spring,"['BAL', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'Sil', 'War']"
161,Germany,1910,winter,"['BAL', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'Sil', 'War']"
162,Germany,1911,fall,"['BAL', 'Lvn', 'Mun', 'NTH', 'Pru', 'Ruh', 'Sil', 'War']"
163,Germany,1911,spring,"['BAL', 'Lvn', 'Mun', 'NWG', 'Pru', 'Ruh', 'Sil', 'War']"
164,Germany,1911,winter,"['Ber', 'Boh', 'Den', 'Lvn', 'Mun', 'NTH', 'Pru', 'War']"
165,Germany,1912,fall,"['Boh', 'Edi', 'Gal', 'Mun', 'NTH', 'Pru', 'Sil', 'War']"
166,Germany,1912,spring,"['Ber', 'Boh', 'Den', 'Lvn', 'Mun', 'NTH', 'Pru', 'War']"
167,Germany,1912,winter,"['Boh', 'Cly', 'Gal', 'Lvn', 'Mun', 'NTH', 'Sil', 'War']"
168,Germany,1913,fall,"['Boh', 'Cly', 'Mos', 'Mun', 'NWG', 'Sil', 'War']"
169,Germany,1913,spring,"['Boh', 'Cly', 'Gal', 'Lvn', 'Mun', 'NTH', 'Sil', 'War']"
170,Germany,1913,winter,"['Boh', 'Cly', 'Mos', 'Mun', 'NAO', 'Sil', 'War']"
171,Germany,1914,fall,"['Mos', 'Mun', 'NAO', 'NWG', 'Pru', 'Sil', 'Tyr', 'War']"
172,Germany,1914,spring,"['Ber', 'Boh', 'Cly', 'Kie', 'Mos', 'Mun', 'NAO', 'Sil', 'War']"
173,Germany,1914,winter,"['Boh', 'Mos', 'Mun', 'NAO', 'NTH', 'Pru', 'Sil', 'War']"
174,Germany,1915,fall,"['Ber', 'Gal', 'Mos', 'Mun', 'NAO', 'NTH', 'Pru', 'Sil', 'War']"
175,Germany,1915,spring,"['Ber', 'Boh', 'Mos', 'Mun', 'NAO', 'NTH', 'Pru', 'Sil', 'War']"
176,Germany,1915,winter,"['Boh', 'Gal', 'Lon', 'Lvp', 'Mos', 'Mun', 'Pru', 'Ruh', 'War']"
177,Germany,1916,fall,"['Boh', 'Bur', 'Hol', 'Lvp', 'Mos', 'Mun', 'NTH', 'Ruh', 'Sil', 'Ukr', 'War']"
178,Germany,1916,spring,"['Ber', 'Boh', 'Gal', 'Kie', 'Lon', 'Lvp', 'Mos', 'Mun', 'Pru', 'Ruh', 'War']"
179,Germany,1916,winter,"['Bel', 'Boh', 'Bur', 'Lvp', 'Mos', 'Mun', 'NTH', 'Ruh', 'Sil', 'Stp', 'War']"
180,Germany,1917,fall,"['Boh', 'Bur', 'Den', 'Hol', 'IRI', 'Mos', 'Mun', 'Pic', 'Ruh', 'Sil', 'Stp', 'War']"
181,Germany,1917,spring,"['Bel', 'Boh', 'Bur', 'Kie', 'Lvp', 'Mos', 'Mun', 'NTH', 'Ruh', 'Sil', 'Stp', 'War']"
182,Germany,1917,winter,"['Boh', 'Bur', 'Den', 'ENG', 'Mos', 'Mun', 'NTH', 'Par', 'Pic', 'Sil', 'Stp', 'War']"
183,Germany,1918,fall,"['Boh', 'Bre', 'Den', 'ENG', 'Gas', 'Lvn', 'Mos', 'Mun', 'NWG', 'Par', 'Sil', 'War']"
184,Germany,1918,spring,"['Boh', 'Bur', 'Den', 'ENG', 'Mos', 'Mun', 'NTH', 'Par', 'Pic', 'Sil', 'Stp', 'War']"
185,Germany,1918,winter,"['Bel', 'Boh', 'Bre', 'Den', 'Gas', 'Lvn', 'Mos', 'Mun', 'NTH', 'Par', 'Sil', 'War']"
186,Germany,1919,fall,"['Bel', 'Boh', 'Bur', 'Gas', 'Hol', 'Lvn', 'Mos', 'Mun', 'NTH', 'Nwy', 'Par', 'Sil', 'War']"
187,Germany,1919,spring,"['Bel', 'Boh', 'Bre', 'Den', 'Gas', 'Kie', 'Lvn', 'Mos', 'Mun', 'NTH', 'Par', 'Sil', 'War']"
188,Germany,1919,winter,"['Bur', 'Edi', 'ENG', 'Gal', 'Gas', 'Hol', 'Lvn', 'Mos', 'Mun', 'Par', 'Sil', 'Swe', 'War']"
189,Germany,1920,fall,"['Bre', 'Bur', 'Cly', 'ENG', 'Gal', 'Gas', 'Lvn', 'Mos', 'Mun', 'NTH', 'Nwy', 'Sil', 'War']"
190,Germany,1920,spring,"['Bur', 'Edi', 'ENG', 'Gal', 'Gas', 'Hol', 'Lvn', 'Mos', 'Mun', 'Par', 'Sil', 'Swe', 'War']"
191,Germany,1920,winter,"['Bre', 'Bur', 'Gas', 'Lon', 'Lvn', 'Lvp', 'Mos', 'Mun', 'NTH', 'Nwy', 'Sil', 'War']"
192,Germany,1921,fall,"['Ber', 'Bre', 'Bur', 'Den', 'ENG', 'Gas', 'IRI', 'Mos', 'Mun', 'NTH', 'Nwy', 'Sil', 'Stp', 'War']"
193,Germany,1921,spring,"['Ber', 'Bre', 'Bur', 'Gas', 'Kie', 'Lon', 'Lvn', 'Lvp', 'Mos', 'Mun', 'NTH', 'Nwy', 'Sil', 'War']"
194,Germany,1921,winter,"['Bre', 'Bur', 'ENG', 'Gas', 'Kie', 'MAO', 'Mos', 'NTH', 'Nwy', 'Pru', 'Sil', 'Stp', 'Swe', 'War']"
195,Italy,1901,fall,"['Apu', 'ION', 'Ven']"
196,Italy,1901,spring,"['Nap', 'Rom', 'Ven']"
197,Italy,1901,winter,"['ION', 'Tun', 'Ven']"
198,Italy,1902,fall,"['ION', 'Tun', 'TYS', 'Ven']"
199,Italy,1902,spring,"['ION', 'Nap', 'Tun', 'Ven']"
200,Italy,1902,winter,"['Gre', 'ION', 'TYS', 'Ven']"
201,Italy,1903,fall,"['Alb', 'ION', 'Tus', 'TYS', 'Ven']"
202,Italy,1903,spring,"['Gre', 'ION', 'Nap', 'TYS', 'Ven']"
203,Italy,1903,winter,"['Pie', 'Tri', 'TYS', 'Ven', 'WES']"
204,Italy,1904,fall,"['LYO', 'Pie', 'Tri', 'TYS', 'Ven', 'WES']"
205,Italy,1904,spring,"['Pie', 'Rom', 'Tri', 'TYS', 'Ven', 'WES']"
206,Italy,1904,winter,"['LYO', 'Pie', 'Tri', 'TYS', 'Ven', 'WES']"
207,Italy,1905,fall,"['LYO', 'Pie', 'Tri', 'Tyr', 'TYS', 'WES']"
208,Italy,1905,spring,"['LYO', 'Pie', 'Tri', 'TYS', 'Ven', 'WES']"
209,Italy,1905,winter,"['LYO', 'MAO', 'Pie', 'Tri', 'Tyr', 'WES']"
210,Italy,1906,fall,"['LYO', 'NAO', 'Pie', 'Spa', 'Tri', 'Tyr']"
211,Italy,1906,spring,"['LYO', 'MAO', 'Pie', 'Tri', 'Tyr', 'WES']"
212,Italy,1906,winter,"['LYO', 'NAO', 'Pie', 'Spa', 'Tri', 'Tyr']"
213,Italy,1907,fall,"['LYO', 'NAO', 'Pie', 'Tri', 'Tyr', 'Ven']"
214,Italy,1907,spring,"['LYO', 'NAO', 'Pie', 'Spa', 'Tri', 'Tyr', 'Ven']"
215,Italy,1907,winter,"['NAO', 'Pie', 'Tri', 'Tyr', 'TYS', 'Ven']"
216,Italy,1908,fall,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS', 'Ven']"
217,Italy,1908,spring,"['NAO', 'Pie', 'Tri', 'Tyr', 'TYS', 'Ven']"
218,Italy,1908,winter,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS', 'Ven']"
219,Italy,1909,fall,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS', 'Ven']"
220,Italy,1909,spring,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS', 'Ven']"
221,Italy,1909,winter,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS', 'Ven']"
222,Italy,1910,fall,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS']"
223,Italy,1910,spring,"['NAO', 'Pie', 'Tus', 'Tyr', 'TYS']"
224,Italy,1910,winter,"['MAO', 'Pie', 'Tus', 'Tyr', 'TYS']"
225,Italy,1911,fall,"['ENG', 'LYO', 'Pie', 'Tus', 'Tyr']"
226,Italy,1911,spring,"['MAO', 'Pie', 'Tus', 'Tyr', 'TYS']"
227,Italy,1911,winter,"['ENG', 'LYO', 'Pie', 'Rom', 'Vie']"
228,Italy,1912,fall,"['ENG', 'Pie', 'Tus', 'TYS', 'Ven', 'Vie']"
229,Italy,1912,spring,"['ENG', 'LYO', 'Nap', 'Pie', 'Rom', 'Vie']"
230,Italy,1912,winter,"['IRI', 'Pie', 'Tus', 'TYS', 'Ven', 'Vie']"
231,Italy,1913,fall,"['IRI', 'LYO', 'Tus', 'TYS', 'Ven', 'Vie']"
232,Italy,1913,spring,"['IRI', 'Pie', 'Tus', 'TYS', 'Ven', 'Vie']"
233,Italy,1913,winter,"['LYO', 'Tus', 'TYS', 'Ven', 'Vie']"
234,Italy,1914,fall,"['Nap', 'Pie', 'Tus', 'TYS', 'Vie']"
235,Italy,1914,spring,"['LYO', 'Nap', 'Tus', 'TYS', 'Ven', 'Vie']"
236,Italy,1914,winter,"['Pie', 'Tus', 'TYS', 'Ven', 'Vie']"
237,Italy,1915,fall,"['Nap', 'Pie', 'Tus', 'TYS', 'Ven', 'Vie']"
238,Italy,1915,spring,"['Nap', 'Pie', 'Tus', 'TYS', 'Ven', 'Vie']"
239,Italy,1915,winter,"['Nap', 'Pie', 'Tus', 'TYS', 'Ven']"
240,Italy,1916,fall,"['Nap', 'TYS', 'Ven']"
241,Italy,1916,spring,"['Nap', 'Tus', 'Ven']"
242,Italy,1916,winter,"['Apu', 'TYS', 'Ven']"
243,Italy,1917,fall,"['Apu', 'TYS', 'Ven']"
244,Italy,1917,spring,"['Apu', 'TYS', 'Ven']"
245,Italy,1917,winter,"['Apu', 'Pie', 'TYS']"
246,Italy,1918,fall,['Mar']
247,Italy,1918,spring,['Pie']
248,Italy,1918,winter,['Mar']
249,Italy,1919,spring,['Mar']
250,Russia,1901,fall,"['BOT', 'Sev', 'Stp', 'War']"
251,Russia,1901,spring,"['Mos', 'Sev', 'Stp', 'War']"
252,Russia,1901,winter,"['BOT', 'Nwy', 'Rum', 'War']"
253,Russia,1902,fall,"['BOT', 'Sev', 'Stp', 'Swe', 'Ukr']"
254,Russia,1902,spring,"['BOT', 'Nwy', 'Rum', 'Sev', 'Stp', 'War']"
255,Russia,1902,winter,"['BOT', 'Rum', 'Stp', 'Swe', 'War']"
256,Russia,1903,fall,"['BOT', 'Lvn', 'Mos', 'Rum', 'Swe', 'Ukr']"
257,Russia,1903,spring,"['BOT', 'Rum', 'Sev', 'Stp', 'Swe', 'War']"
258,Russia,1903,winter,"['BOT', 'Mos', 'Rum', 'Swe', 'Ukr', 'War']"
259,Russia,1904,fall,"['BOT', 'Stp', 'Swe', 'Ukr', 'War']"
260,Russia,1904,spring,"['BOT', 'Mos', 'Swe', 'Ukr', 'War']"
261,Russia,1904,winter,"['BOT', 'Fin', 'Mos', 'Stp', 'War']"
262,Russia,1905,fall,"['BOT', 'Fin', 'Mos', 'Swe']"
263,Russia,1905,spring,"['BOT', 'Fin', 'Stp', 'War']"
264,Russia,1905,winter,"['BOT', 'Nwy', 'Sev', 'Swe']"
265,Russia,1906,fall,"['Fin', 'Sev', 'Stp']"
266,Russia,1906,spring,"['Nwy', 'Sev', 'Swe']"
267,Russia,1906,winter,"['Mos', 'Nwy', 'Stp']"
268,Russia,1907,fall,"['Lvn', 'Mos', 'Stp']"
269,Russia,1907,spring,"['Mos', 'Nwy', 'Stp']"
270,Russia,1907,winter,"['Fin', 'Lvn']"
271,Turkey,1901,fall,"['Ank', 'Bul', 'Smy']"
272,Turkey,1901,spring,"['Ank', 'Con', 'Smy']"
273,Turkey,1901,winter,"['Ank', 'Bul', 'Con']"
274,Turkey,1902,fall,"['AEG', 'Ank', 'Con', 'Rum']"
275,Turkey,1902,spring,"['Ank', 'Bul', 'Con', 'Smy']"
276,Turkey,1902,winter,"['AEG', 'Bul', 'Con', 'Smy']"
277,Turkey,1903,fall,"['AEG', 'Bul', 'Con', 'Gre']"
278,Turkey,1903,spring,"['AEG', 'Bul', 'Con', 'Smy']"
279,Turkey,1903,winter,"['Bul', 'ION', 'Ser', 'Smy']"
280,Turkey,1904,fall,"['AEG', 'Bud', 'Bul', 'Rum', 'Tun']"
281,Turkey,1904,spring,"['Bul', 'Con', 'ION', 'Ser', 'Smy']"
282,Turkey,1904,winter,"['ION', 'Naf', 'Rum', 'Ser', 'Vie']"
283,Turkey,1905,fall,"['Arm', 'BLA', 'Bud', 'Gal', 'ION', 'Naf', 'Rum']"
284,Turkey,1905,spring,"['Con', 'ION', 'Naf', 'Rum', 'Ser', 'Smy', 'Vie']"
285,Turkey,1905,winter,"['BLA', 'Bud', 'Gal', 'Naf', 'Rum', 'TYS', 'Vie']"
286,Turkey,1906,fall,"['BLA', 'Boh', 'Gal', 'Naf', 'Rum', 'Ukr', 'Vie', 'WES']"
287,Turkey,1906,spring,"['Ank', 'BLA', 'Bud', 'Gal', 'Naf', 'Rum', 'TYS', 'Vie']"
288,Turkey,1906,winter,"['BLA', 'Boh', 'Gal', 'Naf', 'Sev', 'Ukr', 'Vie', 'WES']"
289,Turkey,1907,fall,"['BLA', 'Boh', 'Bul', 'Gal', 'Naf', 'Sev', 'Ukr', 'Vie', 'WES']"
290,Turkey,1907,spring,"['BLA', 'Boh', 'Con', 'Gal', 'Naf', 'Sev', 'Ukr', 'Vie', 'WES']"
291,Turkey,1907,winter,"['BLA', 'Boh', 'Gal', 'Mos', 'Naf', 'Rum', 'Ukr', 'Vie', 'WES']"
292,Turkey,1908,fall,"['BLA', 'Gal', 'Lvn', 'Naf', 'Sev', 'Ukr', 'Vie', 'War', 'WES']"
293,Turkey,1908,spring,"['BLA', 'Boh', 'Con', 'Gal', 'Mos', 'Naf', 'Rum', 'Ukr', 'Vie', 'WES']"
294,Turkey,1908,winter,"['BLA', 'Gal', 'Mos', 'Naf', 'Sev', 'Ukr', 'Vie', 'WES']"
295,Turkey,1909,fall,"['BLA', 'Boh', 'Bul', 'Gal', 'Mos', 'Naf', 'Rum', 'Sev', 'Tun', 'Ukr']"
296,Turkey,1909,spring,"['Ank', 'BLA', 'Con', 'Gal', 'Mos', 'Naf', 'Sev', 'Ukr', 'Vie', 'WES']"
297,Turkey,1909,winter,"['BLA', 'Boh', 'Bul', 'Gal', 'Mos', 'Naf', 'Rum', 'Sev', 'Tun', 'Ukr']"
298,Turkey,1910,fall,"['BLA', 'Boh', 'Bul', 'Con', 'Gal', 'Mos', 'Naf', 'Rum', 'Sev', 'Tun', 'Ukr']"
299,Turkey,1910,spring,"['BLA', 'Boh', 'Bul', 'Con', 'Gal', 'Mos', 'Naf', 'Rum', 'Sev', 'Tun', 'Ukr']"
300,Turkey,1910,winter,"['BLA', 'Boh', 'Bud', 'Bul', 'Con', 'Gal', 'Mos', 'Sev', 'Tun', 'Ukr', 'WES']"
