year,country,season,year,year
1911,Austria,winter,1911,1
1911,France,fall,1911,8
1911,France,spring,1911,9
1911,France,winter,1911,8
1911,Germany,fall,1911,8
1911,Germany,spring,1911,8
1911,Germany,winter,1911,8
1911,Italy,fall,1911,5
1911,Italy,spring,1911,5
1911,Italy,winter,1911,5
1911,Turkey,fall,1911,11
1911,Turkey,spring,1911,11
1911,Turkey,winter,1911,11
1912,Austria,fall,1912,1
1912,Austria,spring,1912,1
1912,Austria,winter,1912,1
1912,France,fall,1912,9
1912,France,spring,1912,9
1912,France,winter,1912,8
1912,Germany,fall,1912,8
1912,Germany,spring,1912,8
1912,Germany,winter,1912,8
1912,Italy,fall,1912,6
1912,Italy,spring,1912,6
1912,Italy,winter,1912,6
1912,Turkey,fall,1912,9
1912,Turkey,spring,1912,10
1912,Turkey,winter,1912,9
1913,Austria,fall,1913,1
1913,Austria,spring,1913,1
1913,Austria,winter,1913,1
1913,France,fall,1913,9
1913,France,spring,1913,9
1913,France,winter,1913,9
1913,Germany,fall,1913,7
1913,Germany,spring,1913,8
1913,Germany,winter,1913,7
1913,Italy,fall,1913,6
1913,Italy,spring,1913,6
1913,Italy,winter,1913,5
1913,Turkey,fall,1913,9
1913,Turkey,spring,1913,10
1913,Turkey,winter,1913,9
1914,Austria,fall,1914,1
1914,Austria,spring,1914,1
1914,Austria,winter,1914,1
1914,France,fall,1914,8
1914,France,spring,1914,9
1914,France,winter,1914,8
1914,Germany,fall,1914,8
1914,Germany,spring,1914,9
1914,Germany,winter,1914,8
1914,Italy,fall,1914,5
1914,Italy,spring,1914,6
1914,Italy,winter,1914,5
1914,Turkey,fall,1914,9
1914,Turkey,spring,1914,9
1914,Turkey,winter,1914,9
1915,Austria,fall,1915,1
1915,Austria,spring,1915,1
1915,Austria,winter,1915,1
1915,France,fall,1915,9
1915,France,spring,1915,9
1915,France,winter,1915,9
1915,Germany,fall,1915,9
1915,Germany,spring,1915,9
1915,Germany,winter,1915,9
1915,Italy,fall,1915,6
1915,Italy,spring,1915,6
1915,Italy,winter,1915,5
1915,Turkey,fall,1915,8
1915,Turkey,spring,1915,9
1915,Turkey,winter,1915,8
1916,Austria,fall,1916,1
1916,Austria,spring,1916,1
1916,Austria,winter,1916,1
1916,France,fall,1916,8
1916,France,spring,1916,8
1916,France,winter,1916,8
1916,Germany,fall,1916,11
1916,Germany,spring,1916,11
1916,Germany,winter,1916,11
1916,Italy,fall,1916,3
1916,Italy,spring,1916,3
1916,Italy,winter,1916,3
1916,Turkey,fall,1916,11
1916,Turkey,spring,1916,11
1916,Turkey,winter,1916,11
1917,Austria,fall,1917,1
1917,Austria,spring,1917,1
1917,Austria,winter,1917,1
1917,France,fall,1917,7
1917,France,spring,1917,7
1917,France,winter,1917,7
1917,Germany,fall,1917,12
1917,Germany,spring,1917,12
1917,Germany,winter,1917,12
1917,Italy,fall,1917,3
1917,Italy,spring,1917,3
1917,Italy,winter,1917,3
1917,Turkey,fall,1917,11
1917,Turkey,spring,1917,11
1917,Turkey,winter,1917,11
1918,France,fall,1918,6
1918,France,spring,1918,7
1918,France,winter,1918,6
1918,Germany,fall,1918,12
1918,Germany,spring,1918,12
1918,Germany,winter,1918,12
1918,Italy,fall,1918,1
1918,Italy,spring,1918,1
1918,Italy,winter,1918,1
1918,Turkey,fall,1918,12
1918,Turkey,spring,1918,12
1918,Turkey,winter,1918,12
1919,France,fall,1919,6
1919,France,spring,1919,6
1919,France,winter,1919,6
1919,Germany,fall,1919,13
1919,Germany,spring,1919,13
1919,Germany,winter,1919,13
1919,Italy,spring,1919,1
1919,Turkey,fall,1919,12
1919,Turkey,spring,1919,12
1919,Turkey,winter,1919,12
1920,France,fall,1920,6
1920,France,spring,1920,6
1920,France,winter,1920,6
1920,Germany,fall,1920,13
1920,Germany,spring,1920,13
1920,Germany,winter,1920,12
1920,Turkey,fall,1920,14
1920,Turkey,spring,1920,14
1920,Turkey,winter,1920,14
1921,France,fall,1921,3
1921,France,spring,1921,3
1921,France,winter,1921,2
1921,Germany,fall,1921,14
1921,Germany,spring,1921,14
1921,Germany,winter,1921,14
1921,Turkey,fall,1921,15
1921,Turkey,spring,1921,15
1921,Turkey,winter,1921,15
